,index,Country,Region,Rating,Nratings,Label,Winery,Price,Wine_Variety
64,64,New Zealand,Waiheke Island,4.5,284,Mystae 2020,Destiny Bay Vineyards,"379,560","['Malbec', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc']"
65,65,New Zealand,Waiheke Island,4.5,284,Mystae 2014,Destiny Bay Vineyards,"463,907","['Malbec', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc']"
66,66,New Zealand,Waiheke Island,4.5,284,Mystae 2016,Destiny Bay Vineyards,"430,168","['Malbec', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc']"
67,67,New Zealand,Waiheke Island,4.5,284,Mystae 2019,Destiny Bay Vineyards,"396,429","['Malbec', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc']"
68,68,France,Hermitage,4.5,268,Ermitage Le Pavillon 2008,M. Chapoutier,"439,532",['Shiraz/Syrah']
69,69,Spain,Ribera del Duero,4.5,249,Malleolus de Valderramiro 2008,Emilio Moro,"256,370",['Tempranillo']
70,70,France,Saint-Émilion Grand Cru,4.5,222,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1985,Château Angelus,"458,104","['Cabernet Franc', 'Merlot']"
71,71,Argentina,Mendoza,4.5,197,Nico Malbec 2010,Luca,"190,689",['Malbec']
72,72,United States,Napa Valley,4.5,194,CASK 23 Cabernet Sauvignon 2006,Stag's Leap Wine Cellars,"419,515",['Cabernet Sauvignon']
73,73,New Zealand,Waiheke Island,4.5,193,Larose Red Blend 2010,Stonyridge Vineyard,"420,890","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
74,74,France,Hermitage,4.5,188,Ermitage Le Pavillon 1999,M. Chapoutier,"383,816",['Shiraz/Syrah']
75,75,France,Châteauneuf-du-Pape,4.5,183,Châteauneuf-du-Pape Deus Ex Machina 2011,Clos Saint Jean,"223,961",['Grenache']
76,76,France,Hermitage,4.5,165,Ermitage Ex-Voto 2009,E. Guigal,"441,696",['Shiraz/Syrah']
77,77,Spain,Rioja,4.5,164,Prado Enea Gran Reserva 1998,Muga,"80,909",['Tempranillo']
78,78,France,Margaux,4.5,153,Margaux (Grand Cru Classé) 1989,Château Brane-Cantenac,"223,961","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
79,79,Spain,Ribera del Duero,4.5,152,Ancestral 2015,Balbas,"126,900",['Tempranillo']
80,80,France,Pomerol,4.5,150,Pomerol 2010,Château La Fleur de Gay,"164,238","['Cabernet Franc', 'Merlot']"
81,81,New Zealand,Waiheke Island,4.5,145,Larose Red Blend 2008,Stonyridge Vineyard,"448,391","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
82,82,France,Côte-Rôtie,4.5,137,Les Grandes Places Côte-Rôtie 2011,Jean-Michel Gerin,"186,634",['Shiraz/Syrah']
83,83,France,Pauillac,4.5,120,Le Petit Mouton de Mouton Rothschild Pauillac 1996,Château Mouton Rothschild,"447,922","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
84,84,France,Châteauneuf-du-Pape,4.5,119,Châteauneuf-du-Pape Deus Ex Machina 2009,Clos Saint Jean,"223,961","['Grenache', 'Mourvedre']"
85,85,France,Pauillac,4.5,108,Les Forts de Latour Pauillac 1983,Château Latour,"217,735","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
86,86,France,Châteauneuf-du-Pape,4.5,105,Chateauneuf-du-Pape La Combe Des Fous 2010,Clos Saint Jean,"230,187",['Grenache']
87,87,France,Châteauneuf-du-Pape,4.5,101,Chateauneuf-du-Pape La Combe Des Fous 2011,Clos Saint Jean,"171,704",['Grenache']
88,88,United States,Napa Valley,4.5,100,Profile 2001,Merryvale,"183,111","['Cabernet Franc', 'Petit Verdot', 'Cabernet Sauvignon']"
89,89,France,Saint-Émilion Grand Cru,4.5,99,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1989,Clos Fourtet,"242,625","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
90,90,Chile,Colchagua Valley,4.5,98,Zeus I 1998,Bisquertt Family Vineyards,"119,235","['Cabernet Sauvignon', 'Carménère']"
91,91,New Zealand,Martinborough,4.5,95,Aroha Te Muna Road Vineyard Pinot Noir 2019,Craggy Range,"177,992",['Pinot Noir']
92,92,Australia,Barossa,4.5,90,GR Reserve Shiraz 2006,Bethany,"169,910",['Shiraz/Syrah']
93,93,France,Hermitage,4.5,80,Ermitage l'Ermite 2009,M. Chapoutier,"441,696",['Shiraz/Syrah']
94,94,France,Châteauneuf-du-Pape,4.5,79,Châteauneuf-du-Pape Deus Ex Machina 2018,Clos Saint Jean,"167,971","['Grenache', 'Mourvedre']"
95,95,New Zealand,Waiheke Island,4.5,73,Larose Red Blend 2013,Stonyridge Vineyard,"422,962","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
96,96,France,Gigondas,4.5,66,Gigondas La Colline 2018,Domaine des Bosquets,"103,022",['Grenache']
97,97,France,Hermitage,4.5,65,Ermitage Le Méal 2015,M. Chapoutier,"423,033",['Shiraz/Syrah']
98,98,France,Châteauneuf-du-Pape,4.5,64,Collection Charles Giraud Châteauneuf-du-Pape 2007,Domaine Saint Préfert,"391,932","['Mourvedre', 'Grenache']"
99,99,France,Cornas,4.5,56,Cornas 'Reynard' 2014,Thierry Allemand,"447,922",['Shiraz/Syrah']
100,100,France,Gigondas,4.5,53,Gigondas Hominis Fides 2010,Château de Saint Cosme,"404,369",['Grenache']
101,101,United States,Red Mountain,4.5,47,Stone Cairn 2013,Andrew Januik,"93,685",['Cabernet Sauvignon']
102,102,France,Saint-Émilion Grand Cru,4.5,47,Chapelle d'Ausone Saint-Émilion Grand Cru 2001,Château Ausone,"267,514","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
103,103,France,Saint-Émilion Grand Cru,4.5,45,Saint-Emilion Grand Cru (Premier Grand Cru Classé) 2002,La Mondotte,"496,447","['Cabernet Franc', 'Merlot']"
104,104,Australia,Barossa,4.5,39,GR Reserve Shiraz 2008,Bethany,"169,910",['Shiraz/Syrah']
105,105,New Zealand,Waiheke Island,4.5,38,Blood Creek 2013,Frenchmans Hill,"190,706","['Cabernet Franc', 'Merlot', 'Viognier', 'Tannat', 'Kolorko', 'Shiraz/Syrah', 'Cabernet Sauvignon']"
106,106,New Zealand,Waiheke Island,4.5,38,Blood Creek 2014,Frenchmans Hill,"148,325","['Cabernet Franc', 'Merlot', 'Viognier', 'Tannat', 'Kolorko', 'Shiraz/Syrah', 'Cabernet Sauvignon']"
107,107,Italy,Brunello di Montalcino,4.5,35,Brunello di Montalcino 2000,Carpineto,"106,460",['Sangiovese']
108,108,Australia,Barossa,4.5,34,GR Reserve Shiraz 2005,Bethany,"212,068",['Shiraz/Syrah']
109,109,France,Alpilles,4.5,28,Alpilles Rouge 1990,Domaine de Trévallon,"388,199","['Shiraz/Syrah', 'Cabernet Sauvignon']"
110,110,France,Saint-Julien,4.4,30790,Saint-Julien (Grand Cru Classé) 1968,Château Léoville Las Cases,"385,706","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
111,111,France,Pomerol,4.4,11309,Pomerol 1977,Vieux Château Certan,"186,634","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
