,index,Country,Region,Rating,Nratings,Label,Winery,Price,Wine_Variety
852,852,New Zealand,Central Otago,4.0,1767,River Run Pinot Noir 2023,Chard Farm,"28,811",['Pinot Noir']
853,853,France,Vosne-Romanée,4.0,1710,Vosne-Romanée 1999,Domaine Confuron-Cotetidot,"298,615",['Pinot Noir']
854,854,Italy,Chianti Classico,4.0,1676,Calidonia Chianti Classico Riserva 2004,Bindi Sergardi,"76,651",['Sangiovese']
855,855,Italy,Chianti Classico,4.0,1676,Calidonia Chianti Classico Riserva 2005,Bindi Sergardi,"62,173",['Sangiovese']
856,856,Spain,Ribera del Duero,4.0,1507,Crianza Tinto 2009,Pago de Los Capellanes,"55,359",['Tempranillo']
857,857,France,Vin de France,4.0,1473,Scarlett Dark 2016,Lamothe Parrot,"27,680","['Shiraz/Syrah', 'Cabernet Sauvignon', 'Merlot']"
858,858,Australia,Barossa,4.0,1435,The Master's Collection Mentor Cabernet Sauvignon 1998,Peter Lehmann,"153,302",['Cabernet Sauvignon']
859,859,Australia,Clare Valley,4.0,1435,Prodigal Grenache 2003,Kilikanoon,"55,359",['Grenache']
860,860,New Zealand,Central Otago,4.0,1228,Pinot Noir 2023,Two Paddocks,"50,849",['Pinot Noir']
861,861,Italy,Veneto,4.0,1216,Tenuta Valleselle Introl della Torre Merlot 2006,Tinazzi,"53,230",['Merlot']
862,862,Australia,Coonawarra,4.0,1154,Cabernet Sauvignon 2010,St Hugo,"93,685",['Cabernet Sauvignon']
863,863,Italy,Barolo,4.0,1144,Barolo Sorano 2003,Ascheri,"155,431",['Nebbiolo']
864,864,France,Haut-Médoc,4.0,996,Haut-Médoc (Grand Cru Classé) 2005,Château de Camensac,"80,880","['Cabernet Sauvignon', 'Merlot']"
865,865,France,Pézenas,4.0,865,Aurel 2017,Domaine Les Aurelles,"97,050","['Grenache', 'Mourvedre']"
866,866,France,Pauillac,4.0,855,Pauillac 1978,Château La Bécasse,"111,981","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
867,867,France,Savigny-lès-Beaune,4.0,838,Savigny-les-Beaune 1966,Maison Champy,"205,298",['Pinot Noir']
868,868,New Zealand,Martinborough,4.0,838,Celebre 2021,Ata Rangi,"42,372","['Merlot', 'Shiraz/Syrah']"
869,869,France,Savigny-lès-Beaune,4.0,838,Savigny-les-Beaune 1985,Maison Champy,"230,187",['Pinot Noir']
870,870,Spain,Rioja,4.0,744,Gran Reserva 2001,Bodegas Marqués de Cáceres,"68,134","['Tempranillo', 'Graciano', 'Garnacha']"
871,871,France,Saint-Émilion Grand Cru,4.0,737,Saint-Émilion Grand Cru (Grand Cru Classé) 2008,Château La Dominique,"74,654",['Merlot']
872,872,Italy,Barolo,4.0,715,Vigna Rocche Barolo 2003,Erbaluna,"127,752",['Nebbiolo']
873,873,France,Saint-Estèphe,4.0,715,Saint-Estèphe 2004,Château Haut-Marbuzet,"155,534","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
874,874,France,Pauillac,4.0,702,Baron Nathaniel Pauillac 2015,Baron Philippe de Rothschild,"91,555","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
875,875,South Africa,Stellenbosch,4.0,671,Private Collection Merlot 2003,Saxenburg,"42,375",['Merlot']
876,876,New Zealand,Central Otago,4.0,667,Pinot Noir 2023,Mondillo,"46,382",['Pinot Noir']
877,877,New Zealand,Central Otago,4.0,660,School House Pinot Noir 2022,Gibbston Valley,"63,252",['Pinot Noir']
878,878,New Zealand,Hawke's Bay,4.0,584,Reserve Cabernet Sauvignon - Merlot 2020,Villa Maria,"42,165","['Cabernet Sauvignon', 'Merlot']"
879,879,New Zealand,Central Otago,4.0,572,China Terrace Pinot Noir 2021,Gibbston Valley,"63,252",['Pinot Noir']
880,880,New Zealand,Central Otago,4.0,572,China Terrace Pinot Noir 2022,Gibbston Valley,"63,252",['Pinot Noir']
881,881,New Zealand,Central Otago,4.0,570,Pinot Noir 2020,Doctors Flat,"51,443",['Pinot Noir']
882,882,Australia,McLaren Vale,4.0,560,Foundation Shiraz 2000,Tatachilla,"105,091",['Shiraz/Syrah']
883,883,New Zealand,Central Otago,4.0,511,Mata-Au Lowburn Vineyards Pinot Noir 2022,Chard Farm,"40,478",['Pinot Noir']
884,884,New Zealand,Central Otago,4.0,496,Finla Mor Pinot Noir 2022,Chard Farm,"37,948",['Pinot Noir']
885,885,Italy,Chianti Classico,4.0,484,Poggio a'Frati Chianti Classico Riserva 2011,Rocca di Castagnoli,"69,919",['Sangiovese']
886,886,Portugal,Douro,4.0,478,Post Scriptum (de Chryseia) Douro 2009,Prats & Symington (P+S),"59,325","['Touriga Nacional', 'Touriga Franca', 'Tinta Roriz', 'Tinta Barroca']"
887,887,New Zealand,Auckland,4.0,473,Estate 2019,Puriri Hills,"48,913","['Malbec', 'Merlot', 'Carménère', 'Cabernet Sauvignon']"
888,888,New Zealand,Marlborough,4.0,471,Pinot Noir 2018,Hans Herzog - Hans Family Estate,"58,191",['Pinot Noir']
889,889,Italy,Barolo,4.0,463,Barolo Cascina Nuova 2015,Elvio Cogno,"103,819",['Nebbiolo']
890,890,France,Moulis-en-Médoc,4.0,402,Moulis-en-Médoc 1995,Château Chasse-Spleen,"92,860","['Cabernet Sauvignon', 'Petit Verdot']"
891,891,New Zealand,Marlborough,4.0,392,Pinot Noir 2021,Cloudy Bay,"53,130",['Pinot Noir']
892,892,Italy,Valtellina,4.0,372,Rosso di Valtellina 2021,ARPEPE,"79,666",['Nebbiolo']
893,893,New Zealand,Marlborough,4.0,355,Pinot Noir 2021,Novum,"38,791",['Pinot Noir']
894,894,Australia,Barossa Valley,4.0,352,Stonehorse Shiraz 2018,Kaesler,"50,850",['Shiraz/Syrah']
895,895,Italy,Chianti Classico,4.0,331,Vigna La Casina Chianti Classico Riserva 2005,Casina di Cornia,"84,751",['Sangiovese']
896,896,France,Saint-Émilion Grand Cru,4.0,325,Saint-Émilion Grand Cru (Grand Cru Classé) 2006,Château Dassault,"74,288","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
897,897,Argentina,Mendoza,4.0,323,Enamore 2008,Renacer,"61,444","['Malbec', 'Bonarda', 'Shiraz/Syrah', 'Cabernet Sauvignon', 'Cabernet Franc']"
898,898,France,Saint-Estèphe,4.0,319,Saint-Estèphe 2003,Château Meyney,"74,288","['Petit Verdot', 'Cabernet Sauvignon', 'Merlot']"
899,899,Spain,Rioja,4.0,318,Reserva Rioja (Finca Ygay) 2001,Marqués de Murrieta,"55,088","['Tempranillo', 'Mazuelo', 'Graciano', 'Garnacha']"
900,900,New Zealand,Central Otago,4.0,315,Pinot Noir 2021,Maori Point,"35,592",['Pinot Noir']
901,901,New Zealand,Marlborough,4.0,314,Pinot Noir 2019,Dog Point,"50,849",['Pinot Noir']
902,902,France,Pauillac,4.0,310,Pauillac (Grand Cru Classé) 1995,Château Haut-Bages Libéral,"105,754","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
903,903,Spain,Costers del Segre,4.0,298,ODA Negre 2018,Castell del Remei,"56,211",['Merlot']
904,904,South Africa,Coastal Region,4.0,287,Private Bin Cabernet Sauvignon 2015,Nederburg,"16,139",['Cabernet Sauvignon']
905,905,France,Pessac-Léognan,4.0,283,Pessac-Léognan (Grand Cru Classé de Graves) 1995,Château de Fieuzal,"97,050","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
906,906,Australia,South Australia,4.0,277,Bin 8 Cabernet - Shiraz 2003,Penfolds,"42,158","['Shiraz/Syrah', 'Cabernet Sauvignon']"
907,907,New Zealand,Hawke's Bay,4.0,271,Syrah 2021,Paritua,"42,372",['Shiraz/Syrah']
908,908,United States,Arroyo Seco,4.0,256,Riva Ranch Pinot Noir 2016,Wente Vineyards,"70,263",['Pinot Noir']
909,909,New Zealand,Waiheke Island,4.0,254,Évoque Reserve 2019,Tantalus,"80,515",['Merlot']
910,910,New Zealand,Waiheke Island,4.0,254,Évoque Reserve 2017,Tantalus,"80,515",['Merlot']
911,911,France,Haut-Médoc,4.0,248,Haut-Médoc 1986,Château Sociando-Mallet,"124,418","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
912,912,United States,Los Carneros,4.0,226,Reserve Pinot Noir 2013,Robert Mondavi Winery,"172,465",['Pinot Noir']
913,913,Italy,Chianti Classico,4.0,215,Stielle Gran Selezione Chianti Classico 2011,Rocca di Castagnoli,"103,053",['Sangiovese']
914,914,Chile,Maipo Valley,4.0,214,Lazuli Cabernet Sauvignon 2005,Viña Aquitania,"70,263",['Cabernet Sauvignon']
915,915,France,Saint-Émilion Grand Cru,4.0,212,Saint-Émilion Grand Cru (Grand Cru Classé) 2011,Château La Marzelle,"110,718","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
916,916,Australia,McLaren Vale,4.0,204,Luna Cabernet Sauvignon 2014,Chalk Hill,"42,158",['Cabernet Sauvignon']
917,917,France,Lalande-de-Pomerol,4.0,203,Château La Croix des Moines Lalande-de-Pomerol 2016,Jean-Louis Trocard,"76,651","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
918,918,Chile,Cachapoal Valley,4.0,198,Gran Toqui Syrah 2020,Viña Casas del Toqui,"44,074",['Shiraz/Syrah']
919,919,France,Châteauneuf-du-Pape,4.0,194,La Mystèriale Châteauneuf-du-Pape 2015,Maison de Grand Esprit,"78,780","['Shiraz/Syrah', 'Grenache', 'Mourvedre']"
920,920,France,Saint-Émilion Grand Cru,4.0,193,Saint-Émilion Grand Cru (Grand Cru Classé) 2006,Château La Marzelle,"110,718","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
921,921,Chile,Colchagua Valley,4.0,191,CA2 Costa Carmenère 2011,TerraNoble,"106,460",['Carménère']
922,922,France,Saint-Estèphe,4.0,188,Saint-Estèphe (Grand Cru Classé) 1990,Château Lafon-Rochet,"111,981","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
923,923,Hungary,Balaton,4.0,183,Sigillum Loliense Red 2011,Konyári,"88,575","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
924,924,Hungary,Szekszárd,4.0,157,Görögszói Merlot 2011,Sebestyén,"126,900",['Merlot']
925,925,Australia,Barossa Valley,4.0,154,Wallace (Shiraz - Grenache) 2006,Glaetzer,"42,584",['Shiraz/Syrah']
926,926,France,Corbières,4.0,154,Cuvée Marcel Barsalou 2005,Château Villenouvette,"40,455","['Shiraz/Syrah', 'Grenache', 'Mourvedre']"
927,927,New Zealand,Gimblett Gravels,4.0,153,Elspeth Cabernet - Merlot 2018,Mills Reef,"42,372","['Cabernet Sauvignon', 'Merlot']"
928,928,Australia,South Australia,4.0,149,Moppa Shiraz 2015,Kalleske,"78,780",['Shiraz/Syrah']
929,929,Australia,Granite Belt,4.0,125,Signature Collection Cabernet Sauvignon 2010,Sirromet,"76,651",['Cabernet Sauvignon']
930,930,Argentina,Lujan de Cuyo,4.0,123,El Alto Parcel Malbec 2011,Doña Paula,"153,302",['Malbec']
931,931,Argentina,Mendoza,4.0,122,Cavas de Weinert Red Blend 2000,Weinert,"28,957","['Malbec', 'Merlot', 'Cabernet Sauvignon']"
932,932,Italy,Campania,4.0,119,Core Campania Rosso 2017,Montevetrano,"51,101",['Aglianico']
933,933,Argentina,Mendoza,4.0,105,Reserva Malbec 2020,Finca el Origen,"27,680",['Malbec']
934,934,South Africa,Western Cape,4.0,103,Classique 2002,Rupert & Rothschild,"46,842","['Cabernet Sauvignon', 'Merlot']"
935,935,New Zealand,Marlborough,4.0,101,Pinot Noir 2021,Greywacke,"42,796",['Pinot Noir']
936,936,United States,Napa Valley,4.0,95,Napa Valley Cabernet Sauvignon 2004,Beaulieu Vineyard (BV),"71,541",['Cabernet Sauvignon']
937,937,Chile,Cachapoal Valley,4.0,93,ONA (Special Reserve) Syrah 2015,Anakena,"51,101",['Shiraz/Syrah']
938,938,France,Pessac-Léognan,4.0,88,Pessac-Léognan (Grand Cru Classé de Graves) 1982,Château de Fieuzal,"279,951","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
939,939,New Zealand,Central Otago,4.0,88,Diamond Pinot Noir 2021,Gibbston Valley,"63,563",['Pinot Noir']
940,940,New Zealand,Central Otago,4.0,88,Diamond Pinot Noir 2022,Gibbston Valley,"63,563",['Pinot Noir']
941,941,Australia,McLaren Vale,4.0,85,Cabernet Sauvignon 2008,Alpha Crucis,"170,336",['Cabernet Sauvignon']
942,942,Australia,Barossa Valley,4.0,83,Stonehorse Shiraz 2004,Kaesler,"51,101",['Shiraz/Syrah']
943,943,Italy,Barolo,4.0,82,Barolo Cascina Nuova 2006,Elvio Cogno,"119,235",['Nebbiolo']
944,944,Australia,Heathcote,4.0,81,Shiraz 2005,Mitchelton,"78,354",['Shiraz/Syrah']
945,945,Hungary,Balaton,4.0,81,Jánoshegyi Kékfrankos 2011,Konyári,"88,575",['Kékfrankos']
946,946,Spain,Rioja,4.0,77,Reserva Rioja 1999,Lan,"55,359",['Tempranillo']
947,947,United States,Dry Creek Valley,4.0,76,Frei Ranch Vineyard Cabernet Sauvignon 1997,Ernest & Julio Gallo,"59,617",['Cabernet Sauvignon']
948,948,France,Saint-Julien,4.0,76,Saint-Julien (Grand Cru Classé) 1981,Château Léoville Poyferré,"164,238","['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
949,949,Spain,Montsant,4.0,75,6 Vinyes de Laurona 2006,Celler Laurona,"76,651","['Grenache', 'Cariñena']"
950,950,France,Monthélie Premier Cru,4.0,74,Monthélie Premier Cru Les Duresses 2011,Bouchard Père & Fils,"95,344",['Pinot Noir']
951,951,Italy,Rosso di Montalcino,4.0,73,Campo Ai Sassi Rosso di Montalcino 2004,Tenuta CastelGiocondo,"54,240",['Sangiovese']
952,952,South Africa,Coastal Region,4.0,73,Private Bin Cabernet Sauvignon 2001,Nederburg,"45,765",['Cabernet Sauvignon']
953,953,Australia,Coonawarra,4.0,73,First Growth 2001,Parker Coonawarra Estate,"105,938",['Cabernet Sauvignon']
954,954,United States,Napa Valley,4.0,72,Reserve Merlot 2001,Merryvale,"76,276",['Merlot']
955,955,Italy,Toscana,4.0,69,Modus Toscana 2000,Ruffino,"88,988","['Cabernet Sauvignon', 'Merlot', 'Sangiovese']"
956,956,Spain,Ribera del Duero,4.0,69,Spiga Ribera del Duero 2004,O. Fournier,"63,563",['Tempranillo']
957,957,Australia,Coonawarra,4.0,68,Sovereign Reserve Cabernet Sauvignon 2006,Punters Corner,"105,938",['Cabernet Sauvignon']
958,958,South Africa,Stellenbosch,4.0,66,Shiraz Golden Triangle 2004,Stellenzicht,"40,680",['Shiraz/Syrah']
959,959,France,Pauillac,4.0,65,Pauillac (Grand Cru Classé) 1981,Château Duhart-Milon,"160,952","['Cabernet Sauvignon', 'Merlot']"
960,960,Australia,Western Australia,4.0,63,Three Hills Malbec 2018,Happs,"63,563",['Malbec']
961,961,Spain,Penedès,4.0,60,Garnatxa Hisenda Miret 2008,Parés Baltà,"105,938",['Garnacha']
962,962,New Zealand,Central Otago,4.0,59,A2 Pinot Noir 2018,Akitu,"37,695",['Pinot Noir']
963,963,New Zealand,Gimblett Gravels,4.0,59,Syrah Gimblett Gravels Vineyard 2021,Craggy Range,"37,948",['Shiraz/Syrah']
964,964,Austria,Weinland,4.0,56,Otto Barrique Reserve Red Musthavea Otto Cat 2008,House of Hafner Family Estate,"80,513","['Blaufränkisch', 'Zweigelt', 'St. Laurent']"
965,965,Austria,Weinland,4.0,56,Otto Barrique Reserve Red Musthavea Otto Cat 2012,House of Hafner Family Estate,"93,226","['Blaufränkisch', 'Zweigelt', 'St. Laurent']"
966,966,France,Gevrey-Chambertin,4.0,56,Gevrey-Chambertin 2017,Mark Haisma,"116,532",['Pinot Noir']
967,967,Austria,Weinland,4.0,56,Otto Barrique Reserve Red Musthavea Otto Cat 2010,House of Hafner Family Estate,"80,513","['Blaufränkisch', 'Zweigelt', 'St. Laurent']"
968,968,France,Pessac-Léognan,4.0,55,Pessac-Léognan (Grand Cru Classé de Graves) 1975,Domaine de Chevalier,"148,576","['Cabernet Franc', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon']"
969,969,Spain,Somontano,4.0,55,Secastilla 2004,Viñas del Vero,"67,800",['Garnacha']
970,970,Australia,McLaren Vale,4.0,54,Titan Shiraz 2010,Alpha Crucis,"84,751",['Shiraz/Syrah']
971,971,New Zealand,Hawke's Bay,4.0,52,The Navigator 2018,Alpha Domus,"26,898","['Malbec', 'Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
972,972,France,Côtes du Roussillon,4.0,52,Rouge 2015,Amistat,"50,850",['Grenache']
973,973,United States,Northern Sonoma,4.0,51,Gallo of Sonoma Cabernet Sauvignon 1994,Gallo Family Vineyards,"169,501",['Cabernet Sauvignon']
974,974,United States,Northern Sonoma,4.0,51,Gallo of Sonoma Cabernet Sauvignon 1992,Gallo Family Vineyards,"211,876",['Cabernet Sauvignon']
975,975,New Zealand,Bannockburn,4.0,48,Pinot Noir 2022,Akarua,"38,134",['Pinot Noir']
976,976,New Zealand,Central Otago,4.0,48,Pinot Noir 2019,Te Kano,"40,677",['Pinot Noir']
977,977,New Zealand,Waiheke Island,4.0,44,Island Blend 2022,Man O' War,"29,658","['Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
978,978,Australia,Mudgee,4.0,39,Blue Mountain Mudgee Shiraz - Cabernet Sauvignon 2000,Rosemount,"106,460","['Shiraz/Syrah', 'Cabernet Sauvignon']"
979,979,South Africa,Coastal Region,4.0,39,Private Bin R121 Shiraz 2002,Nederburg,"45,991",['Shiraz/Syrah']
980,980,New Zealand,Central Otago,4.0,39,Pinot Noir 2022,Two Paddocks,"50,849",['Pinot Noir']
981,981,Australia,McLaren Vale,4.0,37,Foundation Shiraz 2004,Tatachilla,"101,350",['Shiraz/Syrah']
982,982,Australia,Central Victoria,4.0,36,Print Shiraz 2002,Mitchelton,"78,780",['Shiraz/Syrah']
983,983,France,Saint-Julien,4.0,36,Saint-Julien (Grand Cru Classé) 1967,Château Gruaud Larose,"217,735","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
984,984,South Africa,Paarl,4.0,35,Roland's Reserve Cabernet Sauvignon 2004,Seidelberg,"46,842",['Cabernet Sauvignon']
985,985,New Zealand,Central Otago,4.0,35,A1 Pinot Noir 2018,Akitu,"55,087",['Pinot Noir']
986,986,France,Margaux,4.0,34,Margaux (Grand Cru Classé) 1979,Château Rauzan-Ségla,"136,870",['Cabernet Sauvignon']
987,987,New Zealand,Gibbston,4.0,33,Pinot Noir 2016,Brennan,"55,087",['Pinot Noir']
988,988,Spain,Rioja,4.0,33,Reserva 2003,Muga,"40,455",['Tempranillo']
989,989,Italy,Toscana,4.0,33,Molin Vecchio 1999,Carpineto,"139,675","['Shiraz/Syrah', 'Cabernet Sauvignon', 'Sangiovese']"
990,990,Italy,Langhe,4.0,32,Vento di Langa 2011,Biancospino,"63,024",['Nebbiolo']
991,991,New Zealand,Gimblett Gravels,4.0,31,Gimblett Gravels Syrah 2021,Trinity Hill,"33,896",['Shiraz/Syrah']
992,992,Italy,Valpolicella Ripasso Classico,4.0,31,Valpolicella Ripasso Classico Superiore 2021,Luciano Arduini,"25,233","['Corvina', 'Rondinella', 'Corvinone']"
993,993,France,Bordeaux,4.0,31,Rouge 1961,Château Bel-Air,"360,831","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
994,994,Spain,Navarra,4.0,30,Ars memoria 2008,Bodega Tandem,"117,106",['Cabernet Sauvignon']
995,995,New Zealand,Marlborough,4.0,29,Pinot Noir 2017,Hans Herzog - Hans Family Estate,"58,477",['Pinot Noir']
996,996,Spain,Calatayud,4.0,29,Pasión 2013,Bodegas Langa,"25,550",['Grenache']
997,997,New Zealand,Central Otago,4.0,29,'Tinker's Field' Mature Vine Pinot Noir 2018,Rippon,"131,373",['Pinot Noir']
998,998,Italy,Barolo,4.0,29,Sori Gabutti Riserva Barolo 2003,Sordo,"106,460",['Nebbiolo']
999,999,Canada,Niagara Peninsula,4.0,28,Pinot Noir Unfiltered 2012,Norman Hardie,"114,125",['Pinot Noir']
1000,1000,United States,California,3.9,21401,California Red Wine 2004,Decoy,"71,967","['Shiraz/Syrah', 'Cabernet Sauvignon', 'Merlot', 'Zinfandel', 'Petite Sirah', 'Carignan']"
1001,1001,New Zealand,Marlborough,3.9,15675,Pinot Noir 2022,Cloudy Bay,"57,206",['Pinot Noir']
1002,1002,Italy,Sangiovese di Romagna,3.9,11332,Sangiovese Riserva 2002,Umberto Cesari,"41,732","['Sangiovese', 'Cabernet Sauvignon']"
1003,1003,United States,California,3.9,10504,Beyer Ranch Zinfandel 2002,Wente Vineyards,"28,957",['Zinfandel']
1004,1004,Argentina,Mendoza,3.9,9542,Carrascal 2002,Weinert,"20,866","['Cabernet Sauvignon', 'Malbec', 'Merlot']"
1005,1005,Argentina,Mendoza,3.9,9542,Carrascal 2000,Weinert,"21,292","['Cabernet Sauvignon', 'Malbec', 'Merlot']"
1006,1006,France,Pauillac,3.9,9336,Pauillac (Grand Cru Classé) 1981,Château Croizet-Bages,"143,081","['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
1007,1007,United States,California,3.9,9120,Cabernet Sauvignon 2001,Starmont,"53,230",['Cabernet Sauvignon']
1008,1008,United States,Sonoma County,3.9,8824,Grand Reserve Cabernet Sauvignon 2003,Kendall-Jackson,"80,909",['Cabernet Sauvignon']
1009,1009,Argentina,Mendoza,3.9,8479,Malbec 2013,Luigi Bosca,"45,991",['Malbec']
1010,1010,Australia,Langhorne Creek,3.9,6883,Shiraz 2005,Heartland,"25,550",['Shiraz/Syrah']
1011,1011,Italy,Terre Siciliane,3.9,5265,Nero d'Avola (Organico) 2017,Vanitá,"41,732","[""Nero d'Avola""]"
1012,1012,Germany,Baden,3.9,3486,Malterdinger Spätburgunder 2003,Bernhard Huber,"59,617",['Spätburgunder']
1013,1013,Italy,Chianti Rùfina,3.9,3394,Chianti Rùfina Riserva 2017,Castello Nipozzano,"69,412",['Sangiovese']
1014,1014,France,Saint-Émilion Grand Cru,3.9,3115,Saint-Émilion Grand Cru 2000,Château Vieux Lartigue,"58,340","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
1015,1015,Italy,Verona,3.9,2949,Crearo della Conca d'Oro 2003,Tommasi,"68,134","['Cabernet Franc', 'Oseleta', 'Corvina Veronese']"
1016,1016,Spain,Rioja,3.9,2746,Rioja Reserva 2015,Izadi,"40,455",['Tempranillo']
1017,1017,South Africa,Coastal Region,3.9,2691,Pinotage 2003,Nederburg,"24,699",['Pinotage']
1018,1018,France,Pomerol,3.9,2390,Pomerol 2002,Jean-Pierre Moueix,"68,134","['Cabernet Franc', 'Merlot']"
1019,1019,France,Beaujolais-Villages,3.9,2380,Beaujolais-Villages Primeur 2012,Maison Leroy,"432,992",['Gamay']
1020,1020,Italy,Langhe,3.9,2323,Perbacco Nebbiolo 2016,Vietti,"51,101",['Nebbiolo']
1021,1021,Australia,McLaren Vale,3.9,2191,Shiraz 2003,Rock Bare,"44,713",['Shiraz/Syrah']
1022,1022,Australia,Hunter Valley,3.9,2114,Shiraz 2004,Brokenwood,"55,359",['Shiraz/Syrah']
1023,1023,France,Saint-Émilion Grand Cru,3.9,1846,Saint-Émilion Grand Cru (Grand Cru Classé) 1966,Château Petit Faurie de Soutard,"246,357","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
1024,1024,Argentina,Mendoza,3.9,1732,Ultra Malbec 2013,Kaiken,"46,842",['Malbec']
1025,1025,Argentina,Mendoza,3.9,1687,Merlot 1997,Weinert,"24,699",['Merlot']
1026,1026,Australia,Barossa Valley,3.9,1539,Regional Selections Shiraz 2010,Handpicked,"66,005",['Shiraz/Syrah']
1027,1027,France,Madiran,3.9,1523,Madiran 2011,Château Montus,"81,761",['Tannat']
1028,1028,Georgia,Kakheti,3.9,1492,Royal Mukuzani Special Collection Red Dry 2009,Kakhetian Traditional Winemaking,"110,718",['Saperavi']
1029,1029,Chile,Maipo Valley,3.9,1345,1865 Unique Cabernet Sauvignon 2005,San Pedro,"22,569",['Cabernet Sauvignon']
1030,1030,United States,Los Carneros,3.9,1294,Merlot 2002,Starmont,"53,230",['Merlot']
1031,1031,Australia,Barossa Valley,3.9,1227,Cabernet Sauvignon 2005,Kaesler,"40,455",['Cabernet Sauvignon']
1032,1032,Italy,Maremma Toscana,3.9,1225,Querciolaia Maremma Toscana Alicante 2002,Mantellassi,"56,211",['Alicante Bouschet']
1033,1033,United States,Arroyo Seco,3.9,1189,Riva Ranch Pinot Noir 2014,Wente Vineyards,"58,766",['Pinot Noir']
1034,1034,Argentina,Uco Valley,3.9,1129,B Crux Blend 2011,O. Fournier,"27,680","['Malbec', 'Tempranillo', 'Touriga Nacional']"
1035,1035,United States,Napa Valley,3.9,1091,Longwood Cabernet Sauvignon 2008,Beaucanon,"63,876",['Cabernet Sauvignon']
1036,1036,New Zealand,Central Otago,3.9,925,Pinot Noir 2016,Gibbston Valley,"67,801",['Pinot Noir']
1037,1037,New Zealand,Central Otago,3.9,925,Pinot Noir 2005,Gibbston Valley,"80,909",['Pinot Noir']
1038,1038,New Zealand,Central Otago,3.9,925,Pinot Noir 2006,Gibbston Valley,"76,651",['Pinot Noir']
1039,1039,New Zealand,Central Otago,3.9,925,Pinot Noir 2021,Gibbston Valley,"41,525",['Pinot Noir']
1040,1040,New Zealand,Central Otago,3.9,908,Pinot Noir 2021,Domain Road Vineyard,"35,592",['Pinot Noir']
1041,1041,Chile,Colchagua Valley,3.9,867,Montes Alpha Cabernet Sauvignon 2007,Montes,"41,732",['Cabernet Sauvignon']
1042,1042,Italy,Chianti Classico,3.9,858,Chianti Classico 2015,Lornano,"42,158",['Sangiovese']
1043,1043,France,Saint-Julien,3.9,815,Sarget de Gruaud Larose Saint-Julien 2009,Château Gruaud Larose,"73,414","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
1044,1044,Australia,McLaren Vale,3.9,799,Church Block Cabernet Sauvignon - Shiraz - Merlot 2019,Wirra Wirra,"51,101","['Cabernet Sauvignon', 'Merlot', 'Shiraz/Syrah']"
1045,1045,France,Lussac-Saint-Émilion,3.9,794,Réserve des Chartrons Lussac-Saint-Émilion 2003,Arnozan,"23,421","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec']"
1046,1046,Australia,McLaren Vale,3.9,778,Bush Vine Grenache 2009,Chapel Hill,"70,263",['Grenache']
1047,1047,New Zealand,Hawke's Bay,3.9,727,The Navigator 2019,Alpha Domus,"27,031","['Malbec', 'Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
1048,1048,Italy,Toscana,3.9,685,Testardo Sangiovese - Cabernet Toscana 2003,Sensi,"67,283","['Cabernet Sauvignon', 'Sangiovese']"
1049,1049,Australia,Barossa Valley,3.9,683,Shiraz 2006,Epsilon,"31,938",['Shiraz/Syrah']
1050,1050,France,Haut-Médoc,3.9,678,Haut-Médoc 2016,Château Cissac,"63,876","['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']"
1051,1051,Australia,Barossa Valley,3.9,666,The Moonlight Run 2005,Massena,"51,101","['Shiraz/Syrah', 'Mourvedre', 'Cinsault', 'Grenache']"
1052,1052,Spain,Ribera del Guadiana,3.9,620,Huno Blend 2014,Pago Los Balancines,"45,991","['Cabernet Sauvignon', 'Tempranillo', 'Garnacha Tintorera', 'Shiraz/Syrah']"
