"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00039069","1899-06","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","1",",a","0",",a","","","","","","","","","","","","","18990625",",,a","","","","","6.6",",,a,25,","","","9.4",",,,a","","","","","",""
"ASN00039069","1899-07","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","5",",a","0",",a","","","","","","","","","","","","","18990709",",,a","","","","","17.8",",,a,09,","","","40.6",",,,a","","","","","",""
"ASN00039069","1899-08","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","5",",a","1",",a","","","","","","","","","","","","","18990822",",,a","","","","","48.3",",,a,22,","","","91.7",",,,a","","","","","",""
"ASN00039069","1899-09","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","2",",a","1",",a","","","","","","","","","","","","","18990928",",,a","","","","","27.9",",,a,28,","","","31.2",",,,a","","","","","",""
"ASN00039069","1899-10","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","3",",a","0",",a","","","","","","","","","","","","","18991026",",,a","","","","","10.2",",,a,26,","","","21.4",",,,a","","","","","",""
"ASN00039069","1899-11","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","4",",a","0",",a","","","","","","","","","","","","","18991122",",,a","","","","","14.0",",,a,22,","","","41.5",",,,a","","","","","",""
"ASN00039069","1899-12","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","3",",a","3",",a","","","","","","","","","","","","","18991227",",,a","","","","","172.7",",,a,27,","","","298.6",",,,a","","","","","",""
"ASN00039069","1900-01","-23.6286","150.3867","248.0","WALTERHALL, AS","15",",a","7",",a","0",",a","","","","","","","","","","","","","19000101",",,a","","","","","10.4",",,a,01,","","","48.5",",,,a","","","","","",""
"ASN00039069","1900-02","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","1",",a","0",",a","","","","","","","","","","","","","19000224",",,a","","","","","3.0",",,a,24,","","","3.0",",,,a","","","","","",""
"ASN00039069","1900-03","-23.6286","150.3867","248.0","WALTERHALL, AS","10",",a","5",",a","0",",a","","","","","","","","","","","","","19000331",",,a","","","","","18.3",",,a,31,","","","44.2",",,,a","","","","","",""
"ASN00039069","1900-04","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","1",",a","0",",a","","","","","","","","","","","","","19000408",",,a","","","","","6.9",",,a,08,","","","10.0",",,,a","","","","","",""
"ASN00039069","1900-05","-23.6286","150.3867","248.0","WALTERHALL, AS","9",",a","3",",a","0",",a","","","","","","","","","","","","","19000526","+,,a","","","","","12.7",",,a,26,+","","","34.2",",,,a","","","","","",""
"ASN00039069","1900-06","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","2",",a","1",",a","","","","","","","","","","","","","19000621",",,a","","","","","27.9",",,a,21,","","","35.3",",,,a","","","","","",""
"ASN00039069","1900-07","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","5",",a","1",",a","","","","","","","","","","","","","19000703",",,a","","","","","44.2",",,a,03,","","","64.4",",,,a","","","","","",""
"ASN00039069","1900-08","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","4",",a","0",",a","","","","","","","","","","","","","19000814",",,a","","","","","14.0",",,a,14,","","","24.9",",,,a","","","","","",""
"ASN00039069","1900-09","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","1",",a","0",",a","","","","","","","","","","","","","19000916",",,a","","","","","19.1",",,a,16,","","","19.6",",,,a","","","","","",""
"ASN00039069","1900-10","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","3",",a","0",",a","","","","","","","","","","","","","19001013",",,a","","","","","11.9",",,a,13,","","","21.6",",,,a","","","","","",""
"ASN00039069","1900-11","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","1",",a","0",",a","","","","","","","","","","","","","19001105",",,a","","","","","5.1",",,a,05,","","","5.1",",,,a","","","","","",""
"ASN00039069","1900-12","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","3",",a","0",",a","","","","","","","","","","","","","19001223",",,a","","","","","14.2",",,a,23,","","","21.3",",,,a","","","","","",""
"ASN00039069","1901-01","-23.6286","150.3867","248.0","WALTERHALL, AS","6",",a","3",",a","1",",a","","","","","","","","","","","","","19010113",",,a","","","","","31.2",",,a,13,","","","51.7",",,,a","","","","","",""
"ASN00039069","1901-02","-23.6286","150.3867","248.0","WALTERHALL, AS","11",",a","9",",a","2",",a","","","","","","","","","","","","","19010205",",,a","","","","","30.5",",,a,05,","","","116.1",",,,a","","","","","",""
"ASN00039069","1901-03","-23.6286","150.3867","248.0","WALTERHALL, AS","11",",a","7",",a","2",",a","","","","","","","","","","","","","19010310",",,a","","","","","44.7",",,a,10,","","","109.7",",,,a","","","","","",""
"ASN00039069","1901-04","-23.6286","150.3867","248.0","WALTERHALL, AS","6",",a","5",",a","1",",a","","","","","","","","","","","","","19010421",",,a","","","","","31.8",",,a,21,","","","67.4",",,,a","","","","","",""
"ASN00039069","1901-05","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","1",",a","0",",a","","","","","","","","","","","","","19010501",",,a","","","","","17.8",",,a,01,","","","19.8",",,,a","","","","","",""
"ASN00039069","1901-06","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","2",",a","0",",a","","","","","","","","","","","","","19010610",",,a","","","","","6.4",",,a,10,","","","10.9",",,,a","","","","","",""
"ASN00039069","1901-07","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","3",",a","1",",a","","","","","","","","","","","","","19010705",",,a","","","","","40.9",",,a,05,","","","51.3",",,,a","","","","","",""
"ASN00039069","1901-08","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","3",",a","1",",a","","","","","","","","","","","","","19010824",",,a","","","","","29.2",",,a,24,","","","56.9",",,,a","","","","","",""
"ASN00039069","1901-09","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","4",",a","1",",a","","","","","","","","","","","","","19010919",",,a","","","","","36.8",",,a,19,","","","75.2",",,,a","","","","","",""
"ASN00039069","1901-10","-23.6286","150.3867","248.0","WALTERHALL, AS","8",",a","7",",a","0",",a","","","","","","","","","","","","","19011024",",,a","","","","","17.3",",,a,24,","","","46.0",",,,a","","","","","",""
"ASN00039069","1901-11","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","1",",a","0",",a","","","","","","","","","","","","","19011128",",,a","","","","","2.8",",,a,28,","","","5.1",",,,a","","","","","",""
"ASN00039069","1901-12","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","2",",a","0",",a","","","","","","","","","","","","","19011218",",,a","","","","","20.3",",,a,18,","","","29.4",",,,a","","","","","",""
"ASN00039069","1902-01","-23.6286","150.3867","248.0","WALTERHALL, AS","10",",a","7",",a","4",",a","","","","","","","","","","","","","19020114",",,a","","","","","36.3",",,a,14,","","","130.2",",,,a","","","","","",""
"ASN00039069","1902-02","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","6",",a","0",",a","","","","","","","","","","","","","19020227","+,,a","","","","","17.8",",,a,27,+","","","61.6",",,,a","","","","","",""
"ASN00039069","1902-03","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","1",",a","0",",a","","","","","","","","","","","","","19020306",",,a","","","","","3.0",",,a,06,","","","4.3",",,,a","","","","","",""
"ASN00039069","1902-04","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","1",",a","0",",a","","","","","","","","","","","","","19020405",",,a","","","","","3.0",",,a,05,","","","7.5",",,,a","","","","","",""
"ASN00039069","1902-05","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","1",",a","0",",a","","","","","","","","","","","","","19020520",",,a","","","","","4.1",",,a,20,","","","4.1",",,,a","","","","","",""
"ASN00039069","1902-06","-23.6286","150.3867","248.0","WALTERHALL, AS","0",",a","0",",a","0",",a","","","","","","","","","","","","","19020630","+,,a","","","","","0.0",",,a,30,+","","","0.0",",,,a","","","","","",""
"ASN00039069","1902-07","-23.6286","150.3867","248.0","WALTERHALL, AS","0",",a","0",",a","0",",a","","","","","","","","","","","","","19020731","+,,a","","","","","0.0",",,a,31,+","","","0.0",",,,a","","","","","",""
"ASN00039069","1902-08","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","1",",a","0",",a","","","","","","","","","","","","","19020818",",,a","","","","","2.5",",,a,18,","","","2.5",",,,a","","","","","",""
"ASN00039069","1902-09","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","1",",a","1",",a","","","","","","","","","","","","","19020928",",,a","","","","","25.4",",,a,28,","","","25.4",",,,a","","","","","",""
"ASN00039069","1902-10","-23.6286","150.3867","248.0","WALTERHALL, AS","0",",a","0",",a","0",",a","","","","","","","","","","","","","19021031","+,,a","","","","","0.0",",,a,31,+","","","0.0",",,,a","","","","","",""
"ASN00039069","1902-11","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","0",",a","0",",a","","","","","","","","","","","","","19021124",",,a","","","","","2.3",",,a,24,","","","2.3",",,,a","","","","","",""
"ASN00039069","1902-12","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","7",",a","4",",a","","","","","","","","","","","","","19021209",",,a","","","","","54.6",",,a,09,","","","175.6",",,,a","","","","","",""
"ASN00039069","1903-01","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","6",",a","1",",a","","","","","","","","","","","","","19030106",",,a","","","","","26.4",",,a,06,","","","52.0",",,,a","","","","","",""
"ASN00039069","1903-02","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","3",",a","1",",a","","","","","","","","","","","","","19030219",",,a","","","","","32.0",",,a,19,","","","54.9",",,,a","","","","","",""
"ASN00039069","1903-03","-23.6286","150.3867","248.0","WALTERHALL, AS","14",",a","9",",a","1",",a","","","","","","","","","","","","","19030320",",,a","","","","","57.9",",,a,20,","","","91.3",",,,a","","","","","",""
"ASN00039069","1903-04","-23.6286","150.3867","248.0","WALTERHALL, AS","8",",a","3",",a","0",",a","","","","","","","","","","","","","19030421",",,a","","","","","7.4",",,a,21,","","","21.6",",,,a","","","","","",""
"ASN00039069","1903-05","-23.6286","150.3867","248.0","WALTERHALL, AS","11",",a","7",",a","3",",a","","","","","","","","","","","","","19030505",",,a","","","","","38.1",",,a,05,","","","133.3",",,,a","","","","","",""
"ASN00039069","1903-06","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","1",",a","0",",a","","","","","","","","","","","","","19030628",",,a","","","","","2.8",",,a,28,","","","3.8",",,,a","","","","","",""
"ASN00039069","1903-07","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","6",",a","0",",a","","","","","","","","","","","","","19030714",",,a","","","","","23.9",",,a,14,","","","85.7",",,,a","","","","","",""
"ASN00039069","1903-08","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","3",",a","0",",a","","","","","","","","","","","","","19030807",",,a","","","","","5.3",",,a,07,","","","14.2",",,,a","","","","","",""
"ASN00039069","1903-09","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","2",",a","0",",a","","","","","","","","","","","","","19030917",",,a","","","","","15.5",",,a,17,","","","20.9",",,,a","","","","","",""
"ASN00039069","1903-10","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","4",",a","1",",a","","","","","","","","","","","","","19031015",",,a","","","","","27.2",",,a,15,","","","62.0",",,,a","","","","","",""
"ASN00039069","1903-11","-23.6286","150.3867","248.0","WALTERHALL, AS","11",",a","9",",a","2",",a","","","","","","","","","","","","","19031105",",,a","","","","","48.5",",,a,05,","","","165.1",",,,a","","","","","",""
"ASN00039069","1903-12","-23.6286","150.3867","248.0","WALTERHALL, AS","12",",a","11",",a","0",",a","","","","","","","","","","","","","19031205",",,a","","","","","24.1",",,a,05,","","","90.3",",,,a","","","","","",""
"ASN00039069","1904-01","-23.6286","150.3867","248.0","WALTERHALL, AS","12",",a","7",",a","2",",a","","","","","","","","","","","","","19040103",",,a","","","","","54.1",",,a,03,","","","129.6",",,,a","","","","","",""
"ASN00039069","1904-02","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","4",",a","1",",a","","","","","","","","","","","","","19040227",",,a","","","","","31.8",",,a,27,","","","55.7",",,,a","","","","","",""
"ASN00039069","1904-03","-23.6286","150.3867","248.0","WALTERHALL, AS","10",",a","5",",a","1",",a","","","","","","","","","","","","","19040330",",,a","","","","","26.7",",,a,30,","","","97.8",",,,a","","","","","",""
"ASN00039069","1904-04","-23.6286","150.3867","248.0","WALTERHALL, AS","11",",a","8",",a","2",",a","","","","","","","","","","","","","19040408",",,a","","","","","67.8",",,a,08,","","","165.2",",,,a","","","","","",""
"ASN00039069","1904-05","-23.6286","150.3867","248.0","WALTERHALL, AS","8",",a","5",",a","0",",a","","","","","","","","","","","","","19040530",",,a","","","","","6.6",",,a,30,","","","28.1",",,,a","","","","","",""
"ASN00039069","1904-06","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","4",",a","0",",a","","","","","","","","","","","","","19040605",",,a","","","","","14.2",",,a,05,","","","32.0",",,,a","","","","","",""
"ASN00039069","1904-07","-23.6286","150.3867","248.0","WALTERHALL, AS","0",",a","0",",a","0",",a","","","","","","","","","","","","","19040731","+,,a","","","","","0.0",",,a,31,+","","","0.0",",,,a","","","","","",""
"ASN00039069","1904-08","-23.6286","150.3867","248.0","WALTERHALL, AS","0",",a","0",",a","0",",a","","","","","","","","","","","","","19040831","+,,a","","","","","0.0",",,a,31,+","","","0.0",",,,a","","","","","",""
"ASN00039069","1904-09","-23.6286","150.3867","248.0","WALTERHALL, AS","0",",a","0",",a","0",",a","","","","","","","","","","","","","19040930","+,,a","","","","","0.0",",,a,30,+","","","0.0",",,,a","","","","","",""
"ASN00039069","1904-10","-23.6286","150.3867","248.0","WALTERHALL, AS","8",",a","5",",a","1",",a","","","","","","","","","","","","","19041022",",,a","","","","","26.9",",,a,22,","","","77.3",",,,a","","","","","",""
"ASN00039069","1904-11","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","2",",a","0",",a","","","","","","","","","","","","","19041125",",,a","","","","","9.7",",,a,25,","","","18.4",",,,a","","","","","",""
"ASN00039069","1904-12","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","5",",a","0",",a","","","","","","","","","","","","","19041218",",,a","","","","","22.4",",,a,18,","","","43.8",",,,a","","","","","",""
"ASN00039069","1905-01","-23.6286","150.3867","248.0","WALTERHALL, AS","14",",a","11",",a","4",",a","","","","","","","","","","","","","19050117",",,a","","","","","157.0",",,a,17,","","","441.8",",,,a","","","","","",""
"ASN00039069","1905-02","-23.6286","150.3867","248.0","WALTERHALL, AS","8",",a","5",",a","0",",a","","","","","","","","","","","","","19050202",",,a","","","","","9.7",",,a,02,","","","34.2",",,,a","","","","","",""
"ASN00039069","1905-03","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","1",",a","0",",a","","","","","","","","","","","","","19050331",",,a","","","","","22.9",",,a,31,","","","27.2",",,,a","","","","","",""
"ASN00039069","1905-04","-23.6286","150.3867","248.0","WALTERHALL, AS","12",",a","10",",a","1",",a","","","","","","","","","","","","","19050405",",,a","","","","","25.4",",,a,05,","","","117.7",",,,a","","","","","",""
"ASN00039069","1905-05","-23.6286","150.3867","248.0","WALTERHALL, AS","8",",a","3",",a","0",",a","","","","","","","","","","","","","19050502",",,a","","","","","10.2",",,a,02,","","","22.6",",,,a","","","","","",""
"ASN00039069","1905-06","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","1",",a","0",",a","","","","","","","","","","","","","19050622",",,a","","","","","22.9",",,a,22,","","","23.7",",,,a","","","","","",""
"ASN00039069","1905-07","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","0",",a","0",",a","","","","","","","","","","","","","19050702",",,a","","","","","2.0",",,a,02,","","","2.0",",,,a","","","","","",""
"ASN00039069","1905-08","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","1",",a","0",",a","","","","","","","","","","","","","19050816",",,a","","","","","15.2",",,a,16,","","","17.5",",,,a","","","","","",""
"ASN00039069","1905-09","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","3",",a","1",",a","","","","","","","","","","","","","19050927",",,a","","","","","42.2",",,a,27,","","","55.9",",,,a","","","","","",""
"ASN00039069","1905-10","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","5",",a","1",",a","","","","","","","","","","","","","19051009",",,a","","","","","42.9",",,a,09,","","","72.4",",,,a","","","","","",""
"ASN00039069","1905-11","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","5",",a","0",",a","","","","","","","","","","","","","19051119",",,a","","","","","17.8",",,a,19,","","","59.2",",,,a","","","","","",""
