"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ASN00059051","1959-09","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","12",",a","9",",a","2",",a","","","","","","","19590911",",,a","","","35.6",",,a,11,","","","110.1",",,,a","",""
"ASN00059051","1959-10","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","10","2,a","7","2,a","1","2,a","","","","","","","19591019",",2,a","","","26.7","2,,a,19,","","","115.1",",a,,a","",""
"ASN00059051","1959-11","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7","5,a","5","5,a","3","5,a","","","","","","","19591112",",5,a","","","147.3","5,,a,12,","","","284.5",",a,,a","",""
"ASN00059051","1959-12","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","11","3,a","8","3,a","2","3,a","","","","","","","19591208",",3,a","","","58.2","3,,a,08,","","","166.4",",a,,a","",""
"ASN00059051","1960-02","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","12",",a","8",",a","3",",a","","","","","","","19600226",",,a","","","66.0",",,a,26,","","","162.3",",,,a","",""
"ASN00059051","1960-03","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","13",",a","11",",a","4",",a","","","","","","","19600315",",,a","","","89.7",",,a,15,","","","317.3",",,,a","",""
"ASN00059051","1960-04","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","11",",a","8",",a","1",",a","","","","","","","19600405",",,a","","","84.6",",,a,05,","","","145.5",",,,a","",""
"ASN00059051","1960-05","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","9",",a","5",",a","0",",a","","","","","","","19600501",",,a","","","18.3",",,a,01,","","","52.1",",,,a","",""
"ASN00059051","1960-06","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","6","2,a","4","2,a","0","2,a","","","","","","","19600623",",2,a","","","12.7","2,,a,23,","","","123.5",",a,,a","",""
"ASN00059051","1960-07","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","9",",a","4",",a","0",",a","","","","","","","19600701",",,a","","","19.6",",,a,01,","","","52.9",",,,a","",""
"ASN00059051","1960-08","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","3",",a","2",",a","0",",a","","","","","","","19600802",",,a","","","8.6",",,a,02,","","","13.4",",,,a","",""
"ASN00059051","1960-09","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","5",",a","4",",a","0",",a","","","","","","","19600921",",,a","","","5.3",",,a,21,","","","18.3",",,,a","",""
"ASN00059051","1960-10","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","5","2,a","3","2,a","0","2,a","","","","","","","19601026",",2,a","","","21.8","2,,a,26,","","","103.6",",a,,a","",""
"ASN00059051","1960-11","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","8",",a","3",",a","0",",a","","","","","","","19601102",",,a","","","9.4",",,a,02,","","","24.7",",,,a","",""
"ASN00059051","1960-12","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","9",",a","3",",a","1",",a","","","","","","","19601207",",,a","","","26.4",",,a,07,","","","43.8",",,,a","",""
"ASN00059051","1961-01","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7","4,a","4","4,a","0","4,a","","","","","","","19610117",",4,a","","","24.1","4,,a,17,","","","149.8",",a,,a","",""
"ASN00059051","1961-02","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","9","2,a","7","2,a","2","2,a","","","","","","","19610210",",2,a","","","39.9","2,,a,10,","","","369.1",",a,,a","",""
"ASN00059051","1961-03","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","11","2,a","8","2,a","4","2,a","","","","","","","19610320",",2,a","","","45.2","2,,a,20,","","","233.2",",a,,a","",""
"ASN00059051","1961-04","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","13",",a","9",",a","0",",a","","","","","","","19610424",",,a","","","17.3",",,a,24,","","","76.5",",,,a","",""
"ASN00059051","1961-05","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","5","2,a","4","2,a","1","2,a","","","","","","","19610529",",2,a","","","66.0","2,,a,29,","","","97.1","2,,,a","",""
"ASN00059051","1961-06","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7",",a","6",",a","2",",a","","","","","","","19610606",",,a","","","109.2",",,a,06,","","","176.5",",,,a","",""
"ASN00059051","1961-07","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","2","2,a","2","2,a","0","2,a","","","","","","","19610726",",2,a","","","19.6","2,,a,26,","","","51.1",",a,,a","",""
