"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AYM00089022","1997-11","-75.45","-26.217","30.0","HALLEY, AY","3","1,S","29","1,S","","","","","","","19971102",",1,S","","","-24.2","1,S,02,","","","","","","","-14.02","1,,,S"
"AYM00089022","1997-12","-75.45","-26.217","30.0","HALLEY, AY","0","3,S","28","3,S","","","","","","","19971201",",3,S","","","-15.0","3,S,01,","","","","","","","-9.47","3,,,S"
"AYM00089022","1998-10","-75.45","-26.217","30.0","HALLEY, AY","23","3,S","28","3,S","","","","","","","19981001",",3,S","","","-39.8","3,S,01,","","","","","","","-27.08","3,,,S"
"AYM00089022","1998-11","-75.45","-26.217","30.0","HALLEY, AY","9","5,S","25","5,S","","","","","","","19981104",",5,S","","","-24.2","5,S,04,","","","","","","","-16.51","5,,,S"
"AYM00089022","1999-02","-75.45","-26.217","30.0","HALLEY, AY","4","4,S","24","4,S","","","","","","","19990228",",4,S","","","-22.7","4,S,28,","","","","","","","-13.77","4,,,S"
"AYM00089022","1999-06","-75.45","-26.217","30.0","HALLEY, AY","24","5,S","25","5,S","","","","","","","19990627",",5,S","","","-43.3","5,S,27,","","","","","","","-35.96","5,,,S"
"AYM00089022","2000-02","-75.45","-26.217","30.0","HALLEY, AY","12","4,S","25","4,S","","","","","","","20000225",",4,S","","","-24.8","4,S,25,","","","","","","","-17.30","4,,,S"
"AYM00089022","2000-04","-75.45","-26.217","30.0","HALLEY, AY","23","5,S","25","5,S","","","","","","","20000420",",5,S","","","-38.6","5,S,20,","","","","","","","-29.35","5,,,S"
"AYM00089022","2000-05","-75.45","-26.217","30.0","HALLEY, AY","26","5,S","26","5,S","","","","","","","20000517",",5,S","","","-48.7","5,S,17,","","","","","","","-35.30","5,,,S"
"AYM00089022","2000-10","-75.45","-26.217","30.0","HALLEY, AY","28","3,S","28","3,S","","","","","","","20001006",",3,S","","","-39.3","3,S,06,","","","","","","","-31.49","3,,,S"
"AYM00089022","2000-11","-75.45","-26.217","30.0","HALLEY, AY","12",",S","30",",S","","","","","","","20001101",",,S","","","-28.6",",S,01,","","","","","","","-16.87",",,,S"
"AYM00089022","2000-12","-75.45","-26.217","30.0","HALLEY, AY","0",",S","31",",S","","","","","","","20001202",",,S","","","-16.4",",S,02,","","","","","","","-9.85",",,,S"
"AYM00089022","2001-01","-75.45","-26.217","30.0","HALLEY, AY","0",",S","31",",S","","","","","","","20010129",",,S","","","-17.3",",S,29,","","","","","","","-10.21",",,,S"
"AYM00089022","2001-02","-75.45","-26.217","30.0","HALLEY, AY","9","5,S","23","5,S","","","","","","","20010228",",5,S","","","-26.7","5,S,28,","","","","","","","-16.81","5,,,S"
"AYM00089022","2001-05","-75.45","-26.217","30.0","HALLEY, AY","26","4,S","27","4,S","","","","","","","20010504",",4,S","","","-44.5","4,S,04,","","","","","","","-32.91","4,,,S"
"AYM00089022","2001-10","-75.45","-26.217","30.0","HALLEY, AY","19","3,S","28","3,S","","","","","","","20011003",",3,S","","","-40.2","3,S,03,","","","","","","","-24.12","3,,,S"
"AYM00089022","2001-11","-75.45","-26.217","30.0","HALLEY, AY","8","1,S","29","1,S","","","","","","","20011108",",1,S","","","-28.2","1,S,08,","","","","","","","-14.55","1,,,S"
"AYM00089022","2001-12","-75.45","-26.217","30.0","HALLEY, AY","0",",S","31",",S","","","","","","","20011214",",,S","","","-12.9",",S,14,","","","","","","","-6.73",",,,S"
"AYM00089022","2002-01","-75.45","-26.217","30.0","HALLEY, AY","1","3,S","28","3,S","","","","","","","20020131",",3,S","","","-20.2","3,S,31,","","","","","","","-7.54","3,,,S"
"AYM00089022","2002-02","-75.45","-26.217","30.0","HALLEY, AY","7","2,S","26","2,S","","","","","","","20020223",",2,S","","","-23.6","2,S,23,","","","","","","","-15.03","2,,,S"
