"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048112","2013-12","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","1,S","0","1,S","","","","","","","20131229",",1,S","","","18.5","1,S,29,","","","","","","","","","","","20.92","1,,,S"
"BMM00048112","2014-01","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","2,S","0","2,S","0","5,S","26","5,S","0","5,S","20140123",",2,S","20140113",",5,S","16.0","2,S,23,","32.0","5,S,13,","","","","","25.38","6,S","30.62","5,,,S","20.15","2,,,S"
"BMM00048112","2014-02","9.967","98.583","47.0","VICTORIA POINT, BM","","","210.5","4,S","0","2,S","0","2,S","0","3,S","25","3,S","15","3,S","20140204","+,2,S","20140228","+,3,S","20.0","2,S,04,+","34.7","3,S,28,+","","","0.0","3,S","27.07","4,S","32.88","3,,,S","21.27","2,,,S"
"BMM00048112","2014-03","9.967","98.583","47.0","VICTORIA POINT, BM","","","276.8","5,S","0",",S","0",",S","0","5,S","26","5,S","26","5,S","20140303",",,S","20140331",",5,S","19.4",",S,03,","37.8","5,S,31,","","","0.0","5,S","29.02","5,S","35.25","5,,,S","22.78",",,,S"
"BMM00048112","2014-04","9.967","98.583","47.0","VICTORIA POINT, BM","","","310.6","2,S","0",",S","0",",S","0","2,S","28","2,S","27","2,S","20140413",",,S","20140427",",2,S","19.9",",S,13,","38.2","2,S,27,","","","0.0","2,S","29.41","2,S","35.41","2,,,S","23.40",",,,S"
"BMM00048112","2014-05","9.967","98.583","47.0","VICTORIA POINT, BM","","","325.6","1,S","0",",S","0",",S","0","1,S","30","1,S","29","1,S","20140520",",,S","20140508",",1,S","20.7",",S,20,","37.3","1,S,08,","","","0.0","1,S","29.19","1,S","34.91","1,,,S","23.46",",,,S"
"BMM00048112","2014-06","9.967","98.583","47.0","VICTORIA POINT, BM","","","265.5",",S","0",",S","0",",S","0",",S","30",",S","14",",S","20140606",",,S","20140627",",,S","20.4",",S,06,","35.0",",S,27,","","","0.0",",S","27.18",",S","31.48",",,,S","22.88",",,,S"
"BMM00048112","2014-07","9.967","98.583","47.0","VICTORIA POINT, BM","","","182.3","4,S","0",",S","0",",S","0","4,S","27","4,S","1","4,S","20140727",",,S","20140702",",4,S","19.7",",S,27,","33.2","4,S,02,","0.0","S","0.0","4,S","25.15","4,S","29.25","4,,,S","21.05",",,,S"
"BMM00048112","2014-08","9.967","98.583","47.0","VICTORIA POINT, BM","","","206.8","5,S","0","2,S","0","2,S","0","3,S","28","3,S","13","3,S","20140827",",2,S","20140817","+,3,S","19.5","2,S,27,","33.5","3,S,17,+","0.0","S","0.0","3,S","26.21","5,S","31.10","3,,,S","21.31","2,,,S"
"BMM00048112","2014-09","9.967","98.583","47.0","VICTORIA POINT, BM","","","207.4","1,S","0","1,S","0","1,S","0",",S","30",",S","6",",S","20140910",",1,S","20140903",",,S","18.5","1,S,10,","33.0",",S,03,","0.0","S","0.0",",S","25.51","1,S","30.41",",,,S","20.61","1,,,S"
"BMM00048112","2014-10","9.967","98.583","47.0","VICTORIA POINT, BM","","","182.2","5,S","0","1,S","0","1,S","0","4,S","27","4,S","2","4,S","20141004",",1,S","20141017",",4,S","19.2","1,S,04,","33.0","4,S,17,","0.0","S","0.0","4,S","25.35","5,S","30.17","4,,,S","20.53","1,,,S"
"BMM00048112","2014-12","9.967","98.583","47.0","VICTORIA POINT, BM","","","188.7","5,S","0","5,S","0","5,S","0","2,S","29","2,S","0","2,S","20141223",",5,S","20141209",",2,S","19.2","5,S,23,","32.0","2,S,09,","","","0.0","2,S","25.63","5,S","30.50","2,,,S","20.75","5,,,S"
"BMM00048112","2015-01","9.967","98.583","47.0","VICTORIA POINT, BM","192.1","S","192.1","3,S","0","2,S","0","2,S","0","2,S","29","2,S","4","2,S","20150123",",2,S","20150131",",2,S","17.5","2,S,23,","33.5","2,S,31,","","","0.0","2,S","25.25","3,S","31.06","2,,,S","19.45","2,,,S"
"BMM00048112","2015-02","9.967","98.583","47.0","VICTORIA POINT, BM","391.7","S","199.6","4,S","0","1,S","0","1,S","0","4,S","24","4,S","24","4,S","20150212",",1,S","20150222",",4,S","18.9","1,S,12,","35.0","4,S,22,","","","0.0","4,S","26.61","4,S","33.16","4,,,S","20.05","1,,,S"
"BMM00048112","2017-12","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","5,S","0","5,S","","","","","","","20171221",",5,S","","","16.5","5,S,21,","","","","","","","","","","","19.23","5,,,S"
