"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00033105","1962-06","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","5",",I","1",",I","","","","","","","","","","","","","","","","","19620602",",,I","","","","","","","27.5",",,I,02,","","","","","52.3",",,,I","","","","","",""
"BOM00033105","1962-07","51.783","28.333","141.0","LELOIOV, BO","","","17",",I","11",",I","1",",I","","","","","","","","","","","","","","","","","19620716",",,I","","","","","","","37.7",",,I,16,","","","","","119.2",",,,I","","","","","",""
"BOM00033105","1962-08","51.783","28.333","141.0","LELOIOV, BO","","","14",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19620817",",,I","","","","","","","21.6",",,I,17,","","","","","97.6",",,,I","","","","","",""
"BOM00033105","1962-09","51.783","28.333","141.0","LELOIOV, BO","","","11","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","19620920",",1,I","","","","","","","14.0","1,,I,20,","","","","","33.9","1,,,I","","","","","",""
"BOM00033105","1962-10","51.783","28.333","141.0","LELOIOV, BO","","","6",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19621030",",,I","","","","","","","2.6",",,I,30,","","","","","7.6",",,,I","","","","","",""
"BOM00033105","1962-11","51.783","28.333","141.0","LELOIOV, BO","","","10",",I","5",",I","2",",I","","","","","","","","","","","","","","","","","19621121",",,I","","","","","","","32.9",",,I,21,","","","","","81.3",",,,I","","","","","",""
"BOM00033105","1962-12","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19621215",",,I","","","","","","","6.6",",,I,15,","","","","","22.6",",,,I","","","","","",""
"BOM00033105","1963-01","51.783","28.333","141.0","LELOIOV, BO","","","15",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19630107",",,I","","","","","","","7.9",",,I,07,","","","","","24.7",",,,I","","","","","",""
"BOM00033105","1963-02","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19630218",",,I","","","","","","","10.0",",,I,18,","","","","","49.5",",,,I","","","","","",""
"BOM00033105","1963-03","51.783","28.333","141.0","LELOIOV, BO","","","10","1,I","2","1,I","0","1,I","","","","","","","","","","","","","","","","","19630313",",1,I","","","","","","","9.0","1,,I,13,","","","","","20.7","1,,,I","","","","","",""
"BOM00033105","1963-04","51.783","28.333","141.0","LELOIOV, BO","","","5",",I","2",",I","0",",I","","","","","","","3","5,S","3","5,S","0","5,S","","","","","19630424",",,I","19630425","+,5,S","","","","","4.8",",,I,24,","22.8","5,S,25,+","","","9.9",",,,I","","","11.51","5,,,S","",""
"BOM00033105","1963-05","51.783","28.333","141.0","LELOIOV, BO","","","12",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19630516",",,I","","","","","","","17.4",",,I,16,","","","","","56.7",",,,I","","","","","",""
"BOM00033105","1963-06","51.783","28.333","141.0","LELOIOV, BO","","","9","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","19630601",",1,I","","","","","","","10.5","1,,I,01,","","","","","27.6","1,,,I","","","","","",""
"BOM00033105","1963-07","51.783","28.333","141.0","LELOIOV, BO","","","4",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19630712",",,I","","","","","","","10.2",",,I,12,","","","","","20.0",",,,I","","","","","",""
"BOM00033105","1963-08","51.783","28.333","141.0","LELOIOV, BO","","","7",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19630823",",,I","","","","","","","10.0",",,I,23,","","","","","22.4",",,,I","","","","","",""
