"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026745","1960-11","54.483","26.9","183.0","VILEYKA, BO","16",",I","7",",I","1",",I","","","","","19601109",",,I","","","30.3",",,I,09,","91.4",",,,I"
"BOM00026745","1960-12","54.483","26.9","183.0","VILEYKA, BO","16",",I","5",",I","0",",I","","","","","19601209",",,I","","","4.4",",,I,09,","31.4",",,,I"
"BOM00026745","1961-01","54.483","26.9","183.0","VILEYKA, BO","14",",I","2",",I","0",",I","","","","","19610122",",,I","","","8.2",",,I,22,","23.1",",,,I"
"BOM00026745","1961-02","54.483","26.9","183.0","VILEYKA, BO","9",",I","3",",I","0",",I","","","","","19610228",",,I","","","11.2",",,I,28,","28.6",",,,I"
"BOM00026745","1961-03","54.483","26.9","183.0","VILEYKA, BO","17",",I","8",",I","0",",I","","","","","19610322",",,I","","","4.9",",,I,22,","42.5",",,,I"
"BOM00026745","1961-04","54.483","26.9","183.0","VILEYKA, BO","9",",I","5",",I","0",",I","","","","","19610409",",,I","","","9.6",",,I,09,","32.2",",,,I"
"BOM00026745","1961-05","54.483","26.9","183.0","VILEYKA, BO","11",",I","7",",I","0",",I","","","","","19610517",",,I","","","14.6",",,I,17,","43.5",",,,I"
"BOM00026745","1961-06","54.483","26.9","183.0","VILEYKA, BO","13",",I","9",",I","0",",I","","","","","19610602",",,I","","","12.4",",,I,02,","72.2",",,,I"
"BOM00026745","1961-07","54.483","26.9","183.0","VILEYKA, BO","13",",I","4",",I","0",",I","","","","","19610729",",,I","","","5.9",",,I,29,","29.5",",,,I"
"BOM00026745","1961-08","54.483","26.9","183.0","VILEYKA, BO","18",",I","9",",I","0",",I","","","","","19610801",",,I","","","17.8",",,I,01,","79.4",",,,I"
