"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00088014","1910-02","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","3",",a","0",",a","0",",a","","","","","","","","","","","","","19100224","+,,a","","","","","2.3",",,a,24,+","","","","","5.4",",,,a","","","","","",""
"ASN00088014","1910-03","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","4",",a","2",",a","1",",a","","","","","","","","","","","","","19100307",",,a","","","","","67.1",",,a,07,","","","","","77.3",",,,a","","","","","",""
"ASN00088014","1910-04","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","3",",a","0",",a","0",",a","","","","","","","","","","","","","19100426",",,a","","","","","2.3",",,a,26,","","","","","5.3",",,,a","","","","","",""
"ASN00088014","1910-05","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","14",",a","6",",a","0",",a","","","","","","","","","","","","","19100527",",,a","","","","","19.6",",,a,27,","","","","","75.7",",,,a","","","","","",""
"ASN00088014","1910-06","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","17",",a","5",",a","1",",a","","","","","","","","","","","","","19100622",",,a","","","","","26.4",",,a,22,","","","","","60.7",",,,a","","","","","",""
"ASN00088014","1910-07","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","18",",a","10",",a","0",",a","","","","","","","","","","","","","19100702",",,a","","","","","18.5",",,a,02,","","","","","82.9",",,,a","","","","","",""
"ASN00088014","1910-08","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","16",",a","8",",a","0",",a","","","","","","","","","","","","","19100819",",,a","","","","","11.4",",,a,19,","","","","","55.0",",,,a","","","","","",""
"ASN00088014","1910-09","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","13",",a","7",",a","0",",a","","","","","","","","","","","","","19100928",",,a","","","","","22.1",",,a,28,","","","","","101.7",",,,a","","","","","",""
"ASN00088014","1910-10","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","14",",a","8",",a","0",",a","","","","","","","","","","","","","19101018",",,a","","","","","16.3",",,a,18,","","","","","76.4",",,,a","","","","","",""
"ASN00088014","1910-11","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","12",",a","6",",a","0",",a","","","","","","","","","","","","","19101104",",,a","","","","","16.3",",,a,04,","","","","","51.0",",,,a","","","","","",""
"ASN00088014","1910-12","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","10",",a","6",",a","0",",a","","","","","","","","","","","","","19101210",",,a","","","","","9.1",",,a,10,","","","","","37.0",",,,a","","","","","",""
"ASN00088014","1911-01","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","4",",a","4",",a","0",",a","","","","","","","","","","","","","19110131",",,a","","","","","5.1",",,a,31,","","","","","14.9",",,,a","","","","","",""
"ASN00088014","1911-02","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","12",",a","10",",a","2",",a","","","","","","","","","","","","","19110209",",,a","","","","","65.0",",,a,09,","","","","","198.4",",,,a","","","","","",""
"ASN00088014","1911-03","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","9",",a","5",",a","0",",a","","","","","","","","","","","","","19110320",",,a","","","","","19.6",",,a,20,","","","","","61.8",",,,a","","","","","",""
"ASN00088014","1911-04","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","6",",a","1",",a","0",",a","","","","","","","","","","","","","19110413",",,a","","","","","2.8",",,a,13,","","","","","9.4",",,,a","","","","","",""
"ASN00088014","1911-05","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","13",",a","7",",a","1",",a","","","","","","","","","","","","","19110501",",,a","","","","","38.1",",,a,01,","","","","","114.5",",,,a","","","","","",""
"ASN00088014","1911-06","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","14",",a","9",",a","0",",a","","","","","","","","","","","","","19110619",",,a","","","","","16.5",",,a,19,","","","","","70.9",",,,a","","","","","",""
"ASN00088014","1911-07","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","10",",a","6",",a","0",",a","","","","","","","","","","","","","19110721","+,,a","","","","","7.9",",,a,21,+","","","","","36.3",",,,a","","","","","",""
"ASN00088014","1911-08","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","7",",a","5",",a","0",",a","","","","","","","","","","","","","19110814",",,a","","","","","7.9",",,a,14,","","","","","28.2",",,,a","","","","","",""
"ASN00088014","1911-09","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","11",",a","4",",a","0",",a","","","","","","","","","","","","","19110902",",,a","","","","","19.1",",,a,02,","","","","","53.3",",,,a","","","","","",""
"ASN00088014","1911-10","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","7",",a","4",",a","0",",a","","","","","","","","","","","","","19111003",",,a","","","","","3.6",",,a,03,","","","","","16.2",",,,a","","","","","",""
