"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AU000005010","1878-02","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","5",",E","5",",E","0",",E","","","0",",E","17",",E","6",",E","0",",E","0",",E","18780213",",,E","","","18780212",",,E","18780223",",,E","-11.8",",E,13,","","","10.0",",,E,12,","9.2",",E,23,","2863.8","E","496.5",",E","33.4",",,,E","0.60",",E","3.65",",,,E","-2.45",",,,E"
"AU000005010","1878-03","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","22",",E","16",",E","0",",E","","","0",",E","16",",E","2",",E","0",",E","0",",E","18780316",",,E","","","18780301",",,E","18780330",",,E","-7.2",",E,16,","","","18.2",",,E,01,","15.9",",E,30,","3337.4","E","473.6",",E","132.8",",,,E","3.06",",E","6.04",",,,E","0.07",",,,E"
"AU000005010","1878-04","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","12",",E","8",",E","0",",E","","","0",",E","1",",E","0",",E","0",",E","0",",E","18780404",",,E","","","18780427",",,E","18780416",",,E","-0.3",",E,04,","","","20.0",",,E,27,","19.7",",E,16,","3620.1","E","282.7",",E","86.9",",,,E","8.91",",E","13.06",",,,E","4.75",",,,E"
"AU000005010","1878-05","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.9","E","0.9",",E","14",",E","10",",E","0",",E","","","0",",E","0",",E","0",",E","4",",E","0",",E","18780527","+,,E","","","18780525",",,E","18780519",",,E","3.5",",E,27,+","","","18.2",",,E,25,","26.0",",E,19,","3774.5","E","154.4",",E","88.3",",,,E","13.38",",E","17.84",",,,E","8.93",",,,E"
"AU000005010","1878-06","48.05","14.1331","383.0","KREMSMUENSTER, AU","10.7","E","9.8",",E","11",",E","7",",E","0",",E","","","0",",E","0",",E","0",",E","17",",E","0",",E","18780618",",,E","","","18780615",",,E","18780612",",,E","6.0",",E,18,","","","16.5",",,E,15,","26.0",",E,12,","3840.1","E","65.6",",E","47.9",",,,E","16.47",",E","21.15",",,,E","11.79",",,,E"
"AU000005010","1878-07","48.05","14.1331","383.0","KREMSMUENSTER, AU","27.7","E","17.0",",E","16",",E","12",",E","0",",E","","","0",",E","0",",E","0",",E","13",",E","0",",E","18780705","+,,E","","","18780707",",,E","18780723",",,E","9.4",",E,05,+","","","20.8",",,E,07,","28.0",",E,23,","56.7","E","56.7",",E","151.9",",,,E","17.05",",E","20.55",",,,E","13.56",",,,E"
"AU000005010","1878-08","48.05","14.1331","383.0","KREMSMUENSTER, AU","36.6","E","8.9",",E","20",",E","12",",E","1",",E","","","0",",E","0",",E","0",",E","18",",E","0",",E","18780822",",,E","","","18780801",",,E","18780813",",,E","10.2",",E,22,","","","43.5",",,E,01,","25.2",",E,13,","88.8","E","32.1",",E","135.5",",,,E","17.59",",E","21.31",",,,E","13.86",",,,E"
"AU000005010","1878-09","48.05","14.1331","383.0","KREMSMUENSTER, AU","36.9","E","0.3",",E","14",",E","12",",E","2",",E","","","0",",E","0",",E","0",",E","6",",E","0",",E","18780930",",,E","","","18780909",",,E","18780908",",,E","5.0",",E,30,","","","40.0",",,E,09,","25.0",",E,08,","197.3","E","108.5",",E","138.6",",,,E","14.73",",E","18.30",",,,E","11.15",",,,E"
"AU000005010","1878-10","48.05","14.1331","383.0","KREMSMUENSTER, AU","36.9","E","0.0",",E","10",",E","9",",E","0",",E","","","0",",E","0",",E","0",",E","0",",E","0",",E","18781031",",,E","","","18781018",",,E","18781007",",,E","0.3",",E,31,","","","22.6",",,E,18,","16.3",",E,07,","472.9","E","275.6",",E","89.3",",,,E","9.44",",E","12.75",",,,E","6.14",",,,E"
"AU000005010","1878-11","48.05","14.1331","383.0","KREMSMUENSTER, AU","36.9","E","0.0",",E","8",",E","6",",E","0",",E","","","0",",E","23",",E","0",",E","0",",E","0",",E","18781109",",,E","","","18781103",",,E","18781128",",,E","-5.8",",E,09,","","","12.0",",,E,03,","15.6",",E,28,","965.0","E","492.1",",E","45.0",",,,E","1.93",",E","4.88",",,,E","-1.02",",,,E"
