"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085247","2006-07","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","","","","","","","20060716",",5,S","","","8.5","5,S,16,","","","","","","","","","","","14.67","5,,,S"
"BLM00085247","2006-10","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","3,S","0","3,S","0","5,S","26","5,S","18","5,S","20061006",",3,S","20061003",",5,S","17.0","3,S,06,","38.0","5,S,03,","","","","","27.75","8,S","33.08","5,,,S","22.43","3,,,S"
"BLM00085247","2006-11","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","2,S","0","2,S","","","","","","","20061112",",2,S","","","12.5","2,S,12,","","","","","","","","","","","21.84","2,,,S"
"BLM00085247","2007-02","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","","","","","","","20070218",",4,S","","","17.0","4,S,18,","","","","","","","","","","","22.77","4,,,S"
"BLM00085247","2007-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","0","5,S","25","5,S","18","5,S","20070626","+,5,S","20070615",",5,S","10.5","5,S,26,+","36.0","5,S,15,","","","","","23.37","9,S","32.64","5,,,S","14.11","5,,,S"
"BLM00085247","2007-07","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","3,S","26","3,S","14","3,S","","","20070707",",3,S","","","35.2","3,S,07,","","","","","","","30.47","3,,,S","",""
"BLM00085247","2007-08","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","24","5,S","14","5,S","","","20070823",",5,S","","","38.0","5,S,23,","","","","","","","30.81","5,,,S","",""
"BLM00085247","2007-09","-17.833","-60.75","284.0","SAN JOSE, BL","264.2","3,S","0",",S","0",",S","0","3,S","27","3,S","23","3,S","20070926",",,S","20070930",",3,S","12.5",",S,26,","40.0","3,S,30,","","","0.0","3,S","28.05","3,S","36.16","3,,,S","19.94",",,,S"
"BLM00085247","2008-02","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","","","","","","","20080211",",5,S","","","18.2","5,S,11,","","","","","","","","","","","22.14","5,,,S"
"BLM00085247","2008-03","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","","","","","","","20080316",",4,S","","","16.5","4,S,16,","","","","","","","","","","","21.18","4,,,S"
"BLM00085247","2008-05","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","","","","","","","20080505",",4,S","","","7.2","4,S,05,","","","","","","","","","","","17.01","4,,,S"
"BLM00085247","2008-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","3,S","0","3,S","","","","","","","20080617",",3,S","","","6.0","3,S,17,","","","","","","","","","","","13.34","3,,,S"
"BLM00085247","2008-09","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","0","4,S","25","4,S","17","4,S","20080906",",4,S","20080928",",4,S","11.6","4,S,06,","40.6","4,S,28,","","","","","26.20","8,S","34.32","4,,,S","18.09","4,,,S"
"BLM00085247","2008-11","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","","","","","","","20081117",",4,S","","","16.5","4,S,17,","","","","","","","","","","","23.20","4,,,S"
"BLM00085247","2008-12","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","2,S","29","2,S","22","2,S","","","20081207",",2,S","","","39.4","2,S,07,","","","","","","","33.77","2,,,S","",""
"BLM00085247","2009-01","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","27","4,S","23","4,S","","","20090124",",4,S","","","39.0","4,S,24,","","","","","","","34.56","4,,,S","",""
"BLM00085247","2009-02","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","24","4,S","16","4,S","","","20090204",",4,S","","","39.2","4,S,04,","","","","","","","32.97","4,,,S","",""
"BLM00085247","2009-03","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","3,S","28","3,S","17","3,S","","","20090305",",3,S","","","35.3","3,S,05,","","","","","","","32.14","3,,,S","",""
"BLM00085247","2009-04","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","3,S","27","3,S","25","3,S","","","20090419","+,3,S","","","34.4","3,S,19,+","","","","","","","32.69","3,,,S","",""
"BLM00085247","2009-05","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","22","5,S","15","5,S","","","20090524","+,5,S","","","34.5","5,S,24,+","","","","","","","29.82","5,,,S","",""
"BLM00085247","2009-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","21","4,S","3","4,S","","","20090621",",4,S","","","33.0","4,S,21,","","","","","","","26.92","4,,,S","",""
"BLM00085247","2009-07","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","26","1,S","12","1,S","","","20090719",",1,S","","","35.0","1,S,19,","","","","","","","29.11","1,,,S","",""
"BLM00085247","2009-08","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","28","1,S","17","1,S","","","20090830",",1,S","","","36.4","1,S,30,","","","","","","","31.16","1,,,S","",""
"BLM00085247","2009-09","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","24","5,S","13","5,S","","","20090927","+,5,S","","","39.5","5,S,27,+","","","","","","","32.52","5,,,S","",""
"BLM00085247","2009-10","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","2,S","29","2,S","24","2,S","","","20091030",",2,S","","","39.8","2,S,30,","","","","","","","35.27","2,,,S","",""
