"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085244","1997-03","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","10","3,S","5","3,S","0","3,S","0","5,S","0","5,S","0","5,S","26","5,S","10","5,S","19970331",",5,S","19970324",",3,S","19970309","+,5,S","18.4","5,S,31,","23.1","3,,S,24,","33.4","5,S,09,+","","","69.5","3,,,S","26.43","0,S","31.61","5,,,S","21.26","5,,,S"
"BLM00085244","1997-04","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","7","3,S","5","3,S","0","3,S","","","","","","","","","","","","","19970421",",3,S","","","","","9.9","3,,S,21,","","","","","29.3","3,,,S","","","","","",""
"BLM00085244","1997-05","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","6","1,S","4","1,S","0","1,S","","","","","0","5,S","22","5,S","0","5,S","","","19970522",",1,S","19970512","+,5,S","","","22.1","1,,S,22,","31.4","5,S,12,+","","","50.2","1,,,S","","","27.61","5,,,S","",""
"BLM00085244","1997-06","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","14","3,S","8","3,S","0","3,S","","","","","","","","","","","","","19970618",",3,S","","","","","24.9","3,,S,18,","","","","","79.7","3,,,S","","","","","",""
"BLM00085244","1997-07","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3",",S","1",",S","0",",S","","","","","","","","","","","","","19970717",",,S","","","","","7.9",",,S,17,","","","","","9.4",",,,S","","","","","",""
"BLM00085244","1997-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","7","1,S","2","1,S","0","1,S","","","","","","","","","","","","","19970820",",1,S","","","","","22.1","1,,S,20,","","","","","38.1","1,,,S","","","","","",""
"BLM00085244","1997-09","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3","1,S","2","1,S","1","1,S","","","","","","","","","","","","","19970925",",1,S","","","","","25.9","1,,S,25,","","","","","32.0","1,,,S","","","","","",""
"BLM00085244","1997-11","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","7","3,S","5","3,S","0","3,S","","","","","","","","","","","","","19971114",",3,S","","","","","23.9","3,,S,14,","","","","","65.0","3,,,S","","","","","",""
"BLM00085244","1997-12","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","9","4,S","8","4,S","1","4,S","","","","","","","","","","","","","19971209",",4,S","","","","","27.9","4,,S,09,","","","","","113.9","4,,,S","","","","","",""
"BLM00085244","1998-02","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","14","2,S","8","2,S","1","2,S","","","","","","","","","","","","","19980210",",2,S","","","","","25.9","2,,S,10,","","","","","100.4","2,,,S","","","","","",""
"BLM00085244","1998-03","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","7","3,S","5","3,S","0","3,S","","","","","","","","","","","","","19980323",",3,S","","","","","18.0","3,,S,23,","","","","","34.1","3,,,S","","","","","",""
"BLM00085244","1998-04","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","8","3,S","3","3,S","0","3,S","","","","","","","","","","","","","19980417",",3,S","","","","","16.0","3,,S,17,","","","","","42.0","3,,,S","","","","","",""
"BLM00085244","1998-05","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","5","2,S","2","2,S","0","2,S","","","","","","","","","","","","","19980515",",2,S","","","","","13.0","2,,S,15,","","","","","23.6","2,,,S","","","","","",""
