target,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,COARSE,SAND,SILT,CLAY,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,TG,TN,TX,RR,RR1,Year
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.330391428570977,4.3043799999999806,35.2183,5.01239328893142,0.952380952380952,2021
1.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.749065714284995,3.785250000000019,34.09246999999999,5.37324282122742,1.26190476190476,2021
1.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.594669047618993,4.7468600000000265,34.96230000000003,5.37490689285714,1.02380952380952,2021
1.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.751496904760984,4.7099999999999795,35.59809999999999,4.80671336137571,0.904761904761904,2021
1.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.330391428570977,4.3043799999999806,35.2183,5.01239328893142,0.952380952380952,2021
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.749065714284995,3.785250000000019,34.09246999999999,5.37324282122742,1.26190476190476,2021
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.594669047618993,4.7468600000000265,34.96230000000003,5.37490689285714,1.02380952380952,2021
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.751496904760984,4.7099999999999795,35.59809999999999,4.80671336137571,0.904761904761904,2021
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.330391428570977,4.3043799999999806,35.2183,5.01239328893142,0.952380952380952,2021
4.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.749065714284995,3.785250000000019,34.09246999999999,5.37324282122742,1.26190476190476,2021
