STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
ASN00003026,1890-05,-17.6153,123.6483,5.0,"YEEDA, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,18900531.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003027,1750-03,-18.1386,125.7764,120.0,"FOSSIL DOWNS, AS",,,,,7.0,"2,a",5.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500313.0,",2,a",,,,,,,,,24.6,"2,,a,13,",,,,,,,76.2,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003028,1750-03,-19.2536,121.4861,10.0,"ANNA PLAINS, AS",,,,,2.0,"2,a",1.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500315.0,",2,a",,,,,,,,,2.8,"2,,a,15,",,,,,,,4.2,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003029,1910-11,-18.7983,121.7125,9.0,"FRAZIER DOWNS, AS",,,,,4.0,",a",3.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19101121.0,",,a",,,,,,,,,241.3,",,a,21,",,,,,,,281.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003030,1750-05,-18.6844,121.7803,11.0,"BIDYADANGA, AS",,,,,2.0,"5,a",0.0,"5,a",0.0,"5,a",,,,,0.0,"5,a",0.0,"5,a",0.0,"5,a",26.0,"5,a",23.0,"5,a",17500529.0,",5,a",,,,,,,17500504.0,",5,a",17500501.0,",5,a",19.0,"5,a,29,",,,,,1.0,"5,,a,04,",40.2,"5,a,01,",,,,,1.8,"5,,,a",,,29.83,"7,a",36.24,"5,,,a",23.42,"5,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003031,1946-05,-16.5167,122.8908,20.0,"LOMBADINA MISSION, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19460531.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003032,1750-03,-17.3706,123.6611,6.2,"DERBY AERO, AS",,,421.4,"2,a",11.0,"2,a",7.0,"2,a",0.0,"2,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",29.0,"2,a",29.0,"2,a",17500308.0,",2,a",,,,,,,17500320.0,",2,a",17500316.0,",2,a",21.6,"2,a,08,",,,,,19.8,"2,,a,20,",42.1,"2,a,16,",,,0.0,"2,a",54.2,"2,,,a",,,32.87,"2,a",38.52,"2,,,a",27.21,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003033,1938-03,-17.7472,124.5283,60.0,"BLINA, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19380331.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003035,1922-02,-16.4,124.95,,"MUNJA, AS",,,,,15.0,",a",14.0,",a",8.0,",a",,,,,,,,,,,,,,,,,,,,,,,19220219.0,",,a",,,,,,,,,72.9,",,a,19,",,,,,,,406.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003036,1952-08,-18.0,122.2167,9.0,"BROOME QUARANTINE STATION, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19520831.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003037,1958-04,-17.4333,123.75,,"MUNKAYARRA, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19580430.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003039,1959-12,-16.9667,125.3,,"SILENT GROVE, AS",,,,,2.0,",a",2.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19591215.0,",,a",,,,,,,,,78.2,",,a,15,",,,,,,,92.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003040,1958-11,-17.9903,124.1922,45.0,"CAMBALLIN, AS",,,,,4.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19581126.0,",,a",,,,,,,,,11.9,",,a,26,",,,,,,,19.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003041,1750-03,-17.6925,122.7128,60.0,"KILTO STATION, AS",,,,,6.0,"2,a",5.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500314.0,",2,a",,,,,,,,,18.2,"2,,a,14,",,,,,,,53.3,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003042,1959-09,-19.2833,121.5,3.0,"TALGARNO, AS",,,196.3,"4,a",0.0,",a",0.0,",a",0.0,",a",,,,,0.0,"4,a",0.0,"4,a",0.0,",a",30.0,",a",23.0,",a",19590917.0,",4,a",,,,,,,19590930.0,"+,,a",19590921.0,"+,,a",14.7,"4,a,17,",,,,,0.0,",,a,30,+",37.9,",a,21,+",,,0.0,",a",0.0,",,,a",,,25.96,"4,a",34.24,",,,a",17.68,"4,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003043,1960-03,-18.8789,125.9206,160.0,"CHRISTMAS CREEK, AS",,,,,2.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19600322.0,",,a",,,,,,,,,3.3,",,a,22,",,,,,,,4.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003044,1902-04,-18.1103,125.6431,110.0,"BROOKING SPRINGS, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19020430.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003045,1921-12,-19.1,121.5,,"CALANGADIE, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19211231.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003046,1906-03,-18.4833,125.3333,91.0,"CHERRABUN, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19060331.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003047,1929-12,-18.4,123.1,,"DAMPIER DOWNS, AS",,,,,3.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19291213.0,",,a",,,,,,,,,5.1,",,a,13,",,,,,,,10.7,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
