,Longitude,Latitude,Soil Mapping Unit,Continent,Country,Region Lv1,Grape_Variety,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,ROOTS_x,IL_x,HWSD2_SMU_ID_y,SEQUENCE,SHARE_y,WRB4_y,ROOT_DEPTH_y,ROOTS_y,IL_y,SWR,DRAINAGE_y,AWC_y,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_y,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,Top10_Grape
46,-0.6083333333330643,44.81666666666664,7001,Europe,France,Bordeaux,Cabernet Franc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
47,4.841666666666924,47.02499999999998,7001,Europe,France,Burgundy,Chardonnay,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
48,4.041666666666941,49.25833333333331,7001,Europe,France,Champagne – Champagne,Chardonnay,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
49,3.125000000000256,42.48333333333331,7001,Europe,France,Languedoc-Roussillon,Grenache,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
50,2.2166666666669244,43.06666666666664,7001,Europe,France,Languedoc-Roussillon,Mauzac,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
51,3.125000000000256,42.48333333333331,7001,Europe,France,Languedoc-Roussillon,Grenache,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
52,3.125000000000256,42.48333333333331,7001,Europe,France,Languedoc-Roussillon,Mourvedre,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
53,2.86666666666693,42.77499999999998,7001,Europe,France,Languedoc-Roussillon,Grenache Blanc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
54,2.86666666666693,42.76666666666664,7001,Europe,France,Languedoc-Roussillon,Grenache Blanc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
55,4.825000000000273,47.02499999999998,7001,Europe,France,Rhône,Grenache Blanc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
56,4.833333333333599,47.02499999999998,7001,Europe,France,Rhône,Grenache Blanc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
57,4.825000000000273,47.02499999999998,7001,Europe,France,Rhône,Clairette,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
58,4.833333333333599,47.02499999999998,7001,Europe,France,Rhône,Clairette,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
59,4.825000000000273,47.02499999999998,7001,Europe,France,Rhône,Roussanne,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
60,4.833333333333599,47.02499999999998,7001,Europe,France,Rhône,Roussanne,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
61,4.825000000000273,47.02499999999998,7001,Europe,France,Rhône,Bourboulenc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
62,4.833333333333599,47.02499999999998,7001,Europe,France,Rhône,Bourboulenc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,
